CO_Concentration,Humidity,R1_Up_Slope,R1_Down_Slope,R2_Up_Slope,R2_Down_Slope,R3_Up_Slope,R3_Down_Slope,R4_Up_Slope,R4_Down_Slope,R5_Up_Slope,R5_Down_Slope,R6_Up_Slope,R6_Down_Slope,R7_Up_Slope,R7_Down_Slope,R8_Up_Slope,R8_Down_Slope,R9_Up_Slope,R9_Down_Slope,R10_Up_Slope,R10_Down_Slope,R11_Up_Slope,R11_Down_Slope,R12_Up_Slope,R12_Down_Slope,R13_Up_Slope,R13_Down_Slope,R14_Up_Slope,R14_Down_Slope
20,52.29,15.25,-3.62,18.66,-3.79,20.84,-4.44,8.17,-1.68,20.36,-4.34,18.46,-4.1,21.71,-4.2,17.97,-3.36,11.15,-2.06,19.74,-2.99,20.74,-1.68,19.87,-3.35,15.67,-2.98,19.53,-3.49
15.56,41.96,13.89,-3.47,15.75,-4.06,19.08,-4.38,9.52,-2.11,18.29,-4.2,18.88,-4.13,18.51,-4.32,0.37,-1.43,0.01,-1.62,0.21,-1.23,0.57,-2.6,0.21,-1.23,0.01,-1.79,0.39,-1.37
20,40.39,14.2,-3.55,19.34,-4.23,18.84,-4.71,10.07,-2.24,17.68,-4.42,19.23,-4.21,19.75,-4.61,3.56,-1.45,0.02,-1.62,4.12,-1.1,3.41,-1.39,3.6,-1.31,0.02,-1.79,3.3,-1.65
4.44,60.33,15.44,-3.61,17.08,-4.14,20.15,-4.23,6.34,-1.31,18.07,-3.79,18.86,-4.19,20.87,-4.45,2.68,-1.34,0.3,-1.62,0.69,-1.8,2.65,-1.33,0.74,-1.7,0.64,-1.79,3.08,-1.28
15.56,32.93,15.59,-3.9,19.34,-4.53,21.74,-4.49,10.57,-2.52,20.61,-4.19,19.63,-4.23,21.17,-4.78,11.55,-2.57,8.94,-2.13,13.46,-2.74,12.15,-2.39,12.82,-2.61,10.7,-2.42,12.82,-2.85
6.67,53.31,15.94,-3.79,18.04,-4.02,21.62,-4.62,7.5,-1.7,21.29,-4.54,20.02,-4.14,22.07,-4.35,5.28,-1.21,3.69,-1.17,4.14,-1.33,4.16,-1.34,4.37,-1.31,0.76,-1.88,4.26,-1.47
2.22,31.84,16.22,-4.13,19.71,-4.7,22.16,-4.65,13.32,-2.71,22.45,-4.64,23.25,-4.66,21.59,-4.96,11.35,-2.13,8.09,-1.99,11.05,-2.28,9.56,-2.16,10.05,-2.27,9.44,-1.98,9.87,-2.43
11.11,51.28,16.9,-4.29,18.18,-4.39,23.32,-4.88,8.64,-1.78,22.01,-4.61,22.5,-4.56,20.73,-4.75,16.47,-3.08,12.34,-2.28,18.06,-3.05,15.68,-3.08,16.65,-3.12,14.51,-2.76,16.97,-3.18
2.22,61.82,20.13,-3.76,25.73,-4.03,30.36,-4.42,7.64,-1.21,22.99,-3.78,28.37,-3.94,24.32,-4.54,7.54,-1.82,6.66,-1.47,9.12,-1.67,7.68,-1.7,9.23,-1.7,5.97,-1.47,7.7,-1.9
13.33,63.78,19.12,-3.51,22.42,-3.91,26.57,-4.36,7.15,-1.14,23.19,-3.74,26.58,-4.15,23.46,-4.3,19.55,-2.75,11.46,-2.0,22.36,-3.15,23.88,-2.85,19.0,-3.02,16.25,-2.32,22.59,-3.13
4.44,52.8,17.01,-3.52,22.82,-3.98,25.36,-4.65,9.48,-1.68,22.96,-4.21,23.97,-3.75,23.66,-4.41,5.98,-1.58,5.07,-1.23,6.63,-1.33,5.67,-1.37,5.62,-1.51,4.45,-1.3,6.27,-1.54
